Order ID,Customer ID,Product ID,Order Date,Ship Date,Customer Name,Segment,City,State,Postal Code,Region,Product Name,Category,Sub-Category,Ship Mode,Shipping_Duration,Sales,Quantity,Discount,Profit,Profit_Margin_%,Revenue_Per_Unit,Profit_Category,Discount_Tier,Is_High_Discount,Order_Year,Order_Month,Order_Quarter,Order_MonthName,Order_DayName,Year_Month
CA-2016-152156,CG-12520,FUR-BO-10001798,11-08-2016,11-11-2016,Claire Gute,Consumer,Henderson,Kentucky,42420,South,Bush Somerset Collection Bookcase,Furniture,Bookcases,Second Class,92,261.96,2,0,41.9136,16,130.98,Low Profit,No Discount,0,2016,8,3,August,Thursday,2016-08
CA-2016-152156,CG-12520,FUR-CH-10000454,11-08-2016,11-11-2016,Claire Gute,Consumer,Henderson,Kentucky,42420,South,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,Second Class,92,731.94,3,0,219.582,30,243.98,High Profit,No Discount,0,2016,8,3,August,Thursday,2016-08
CA-2016-138688,DV-13045,OFF-LA-10000240,06-12-2016,16-06-2016,Darrin Van Huff,Corporate,Los Angeles,California,90036,West,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,Second Class,5,14.62,2,0,6.8714,47,7.31,Low Profit,No Discount,0,2016,12,4,December,Tuesday,2016-12
US-2015-108966,SO-20335,FUR-TA-10000577,10-11-2015,18-10-2015,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,33311,South,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,Standard Class,5,957.5775,5,0.45,-383.031,-40,191.5155,Loss,High (40–80%),1,2015,11,4,November,Tuesday,2015-11
US-2015-108966,SO-20335,OFF-ST-10000760,10-11-2015,18-10-2015,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,33311,South,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,Standard Class,5,22.368,2,0.2,2.5164,11.25,11.184,Low Profit,Low (0–20%),0,2015,11,4,November,Tuesday,2015-11
CA-2014-115812,BH-11710,FUR-FU-10001487,06-09-2014,14-06-2014,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,Standard Class,5,48.86,7,0,14.1694,29,6.98,Low Profit,No Discount,0,2014,9,3,September,Saturday,2014-09
CA-2014-115812,BH-11710,OFF-AR-10002833,06-09-2014,14-06-2014,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,Newell 322,Office Supplies,Art,Standard Class,5,7.28,4,0,1.9656,27,1.82,Low Profit,No Discount,0,2014,9,3,September,Saturday,2014-09
CA-2014-115812,BH-11710,TEC-PH-10002275,06-09-2014,14-06-2014,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,Mitel 5320 IP Phone VoIP phone,Technology,Phones,Standard Class,5,907.152,6,0.2,90.7152,10,151.192,Low Profit,Low (0–20%),0,2014,9,3,September,Saturday,2014-09
CA-2014-115812,BH-11710,OFF-BI-10003910,06-09-2014,14-06-2014,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,Standard Class,5,18.504,3,0.2,5.7825,31.25,6.168,Low Profit,Low (0–20%),0,2014,9,3,September,Saturday,2014-09
CA-2014-115812,BH-11710,OFF-AP-10002892,06-09-2014,14-06-2014,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,Standard Class,5,114.9,5,0,34.47,30,22.98,Low Profit,No Discount,0,2014,9,3,September,Saturday,2014-09
CA-2014-115812,BH-11710,FUR-TA-10001539,06-09-2014,14-06-2014,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,Chromcraft Rectangular Conference Tables,Furniture,Tables,Standard Class,5,1706.184,9,0.2,85.3092,5,189.576,Low Profit,Low (0–20%),0,2014,9,3,September,Saturday,2014-09
